Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.066976,0.073849,0.25997,0,0,0,1.2212,0.0041115,5.5769E-20,-3.0647E-20,0.0080024,-4.4189E-21,0.0041115,0,0,0,0,0,0,package://planar3dof/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://planar3dof/meshes/base_link.STL,,solid_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.11164,0.011746,-1.3184E-16,0,0,0,0.30362,0.00010845,4.6843E-05,-1.6924E-18,0.0016373,5.5904E-20,0.0015755,0,0,0,0,0,0,package://planar3dof/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://planar3dof/meshes/link1.STL,,links12-1,Origin_joint0,Axis_joint0,joint0,continuous,-0.066976,-0.25997,0.088328,1.5708,0,-1.7632,base_link,0,1,0,,,,,,,,,,,,
link2,-0.11164,0.011746,1.3878E-17,0,0,0,0.30362,0.00010845,4.6843E-05,1.8635E-19,0.0016373,3.3881E-21,0.0015755,0,0,0,0,0,0,package://planar3dof/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://planar3dof/meshes/link2.STL,,links12-2,Origin_joint1,Axis_joint1,joint1,continuous,-0.2,0.02,0,0,1.4746,0,link1,0,1,0,,,,,,,,,,,,
link3,-0.10501,0.01,-6.9389E-18,0,0,0,0.28241,9.3342E-05,1.1825E-19,-1.4738E-19,0.0014569,1.246E-20,0.0013824,0,0,0,0,0,0,package://planar3dof/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://planar3dof/meshes/link3.STL,,link3-1,Origin_joint2,Axis_joint2,joint2,continuous,-0.2,0.02,0,0,0.069531,0,link2,0,1,0,,,,,,,,,,,,
